2012+ Statistics of U.S. Businesses comma-delimited files

FIPS    FIPS
State   County  State Name	      County Name
01      001     ALABAMA               AUTAUGA
01      003     ALABAMA               BALDWIN
01      005     ALABAMA               BARBOUR
01      007     ALABAMA               BIBB
01      009     ALABAMA               BLOUNT
01      011     ALABAMA               BULLOCK
01      013     ALABAMA               BUTLER
01      015     ALABAMA               CALHOUN
01      017     ALABAMA               CHAMBERS
01      019     ALABAMA               CHEROKEE
01      021     ALABAMA               CHILTON
01      023     ALABAMA               CHOCTAW
01      025     ALABAMA               CLARKE
01      027     ALABAMA               CLAY
01      029     ALABAMA               CLEBURNE
01      031     ALABAMA               COFFEE
01      033     ALABAMA               COLBERT
01      035     ALABAMA               CONECUH
01      037     ALABAMA               COOSA
01      039     ALABAMA               COVINGTON
01      041     ALABAMA               CRENSHAW
01      043     ALABAMA               CULLMAN
01      045     ALABAMA               DALE
01      047     ALABAMA               DALLAS
01      049     ALABAMA               DE KALB
01      051     ALABAMA               ELMORE
01      053     ALABAMA               ESCAMBIA
01      055     ALABAMA               ETOWAH
01      057     ALABAMA               FAYETTE
01      059     ALABAMA               FRANKLIN
01      061     ALABAMA               GENEVA
01      063     ALABAMA               GREENE
01      065     ALABAMA               HALE
01      067     ALABAMA               HENRY
01      069     ALABAMA               HOUSTON
01      071     ALABAMA               JACKSON
01      073     ALABAMA               JEFFERSON
01      075     ALABAMA               LAMAR
01      077     ALABAMA               LAUDERDALE
01      079     ALABAMA               LAWRENCE
01      081     ALABAMA               LEE
01      083     ALABAMA               LIMESTONE
01      085     ALABAMA               LOWNDES
01      087     ALABAMA               MACON
01      089     ALABAMA               MADISON
01      091     ALABAMA               MARENGO
01      093     ALABAMA               MARION
01      095     ALABAMA               MARSHALL
01      097     ALABAMA               MOBILE
01      099     ALABAMA               MONROE
01      101     ALABAMA               MONTGOMERY
01      103     ALABAMA               MORGAN
01      105     ALABAMA               PERRY
01      107     ALABAMA               PICKENS
01      109     ALABAMA               PIKE
01      111     ALABAMA               RANDOLPH
01      113     ALABAMA               RUSSELL
01      115     ALABAMA               ST. CLAIR
01      117     ALABAMA               SHELBY
01      119     ALABAMA               SUMTER
01      121     ALABAMA               TALLADEGA
01      123     ALABAMA               TALLAPOOSA
01      125     ALABAMA               TUSCALOOSA
01      127     ALABAMA               WALKER
01      129     ALABAMA               WASHINGTON
01      131     ALABAMA               WILCOX
01      133     ALABAMA               WINSTON
01      999     ALABAMA               STATEWIDE
02      013     ALASKA                ALEUTIANS EAST
02      016     ALASKA                ALEUTIANS WEST
02      020     ALASKA                ANCHORAGE BOROUGH
02      050     ALASKA                BETHEL
02      060     ALASKA                BRISTOL BAY BOROUGH
02      068     ALASKA                DENALI
02      070     ALASKA                DILLINGHAM
